"Column Name","Label"
"S1901_C04_010M","Nonfamily households!!Margin of Error!!$150,000 to $199,999"
"S1901_C04_010MA","Annotation of Nonfamily households!!Margin of Error!!$150,000 to $199,999"
"S1901_C01_011E","Households!!Estimate!!$200,000 or more"
"S1901_C01_011M","Households!!Margin of Error!!$200,000 or more"
"S1901_C01_011MA","Annotation of Households!!Margin of Error!!$200,000 or more"
"S1901_C01_011EA","Annotation of Households!!Estimate!!$200,000 or more"
"S1901_C02_011E","Families!!Estimate!!$200,000 or more"
"S1901_C02_011M","Families!!Margin of Error!!$200,000 or more"
"S1901_C02_011MA","Annotation of Families!!Margin of Error!!$200,000 or more"
"S1901_C02_011EA","Annotation of Families!!Estimate!!$200,000 or more"
"S1901_C03_011E","Married-couple families!!Estimate!!$200,000 or more"
"S1901_C03_011M","Married-couple families!!Margin of Error!!$200,000 or more"
"S1901_C03_011MA","Annotation of Married-couple families!!Margin of Error!!$200,000 or more"
"S1901_C03_011EA","Annotation of Married-couple families!!Estimate!!$200,000 or more"
"S1901_C04_011E","Nonfamily households!!Estimate!!$200,000 or more"
"S1901_C04_011EA","Annotation of Nonfamily households!!Estimate!!$200,000 or more"
"S1901_C04_011M","Nonfamily households!!Margin of Error!!$200,000 or more"
"S1901_C04_011MA","Annotation of Nonfamily households!!Margin of Error!!$200,000 or more"
"S1901_C01_012E","Households!!Estimate!!Median income (dollars)"
"S1901_C01_012M","Households!!Margin of Error!!Median income (dollars)"
"S1901_C01_012MA","Annotation of Households!!Margin of Error!!Median income (dollars)"
"S1901_C01_012EA","Annotation of Households!!Estimate!!Median income (dollars)"
"S1901_C02_012E","Families!!Estimate!!Median income (dollars)"
"S1901_C02_012M","Families!!Margin of Error!!Median income (dollars)"
"S1901_C02_012MA","Annotation of Families!!Margin of Error!!Median income (dollars)"
"S1901_C02_012EA","Annotation of Families!!Estimate!!Median income (dollars)"
"S1901_C03_012E","Married-couple families!!Estimate!!Median income (dollars)"
"S1901_C03_012M","Married-couple families!!Margin of Error!!Median income (dollars)"
"S1901_C03_012MA","Annotation of Married-couple families!!Margin of Error!!Median income (dollars)"
"S1901_C03_012EA","Annotation of Married-couple families!!Estimate!!Median income (dollars)"
"S1901_C04_012E","Nonfamily households!!Estimate!!Median income (dollars)"
"S1901_C04_012M","Nonfamily households!!Margin of Error!!Median income (dollars)"
"S1901_C04_012MA","Annotation of Nonfamily households!!Margin of Error!!Median income (dollars)"
"S1901_C04_012EA","Annotation of Nonfamily households!!Estimate!!Median income (dollars)"
"S1901_C01_013E","Households!!Estimate!!Mean income (dollars)"
"S1901_C01_013EA","Annotation of Households!!Estimate!!Mean income (dollars)"
"S1901_C01_013M","Households!!Margin of Error!!Mean income (dollars)"
"S1901_C01_013MA","Annotation of Households!!Margin of Error!!Mean income (dollars)"
"S1901_C02_013E","Families!!Estimate!!Mean income (dollars)"
"S1901_C02_013M","Families!!Margin of Error!!Mean income (dollars)"
"S1901_C02_013MA","Annotation of Families!!Margin of Error!!Mean income (dollars)"
"S1901_C02_013EA","Annotation of Families!!Estimate!!Mean income (dollars)"
"S1901_C03_013E","Married-couple families!!Estimate!!Mean income (dollars)"
"S1901_C03_013M","Married-couple families!!Margin of Error!!Mean income (dollars)"
