GEO_ID,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
19163,49964,51274,53002,52735,53704,55114,56454,57681,58803,61183,63876,67675
19165,44085,46257,47731,48783,49599,50952,52757,55638,55489,58000,60139,62222
19167,51557,53922,55252,57227,59272,61627,63466,66022,67178,69844,73260,78179
19169,48248,49733,49683,50516,51270,50438,51201,52671,54554,56756,58302,62578
19171,46288,48836,49244,51670,54325,55203,53833,56110,55898,56037,54749,59794
19173,40300,41554,42638,43804,44939,44246,46510,46825,48717,50431,57768,59528
19175,40879,41782,41795,44838,44134,44351,45934,47597,47518,49900,50375,52321
19177,40073,40640,41572,43181,45057,45111,46769,47197,47083,48591,49898,53218
19179,40093,40269,41088,41425,41519,42095,42494,43329,45233,46246,46433,51222
19181,62034,63292,62778,62535,64956,64447,67090,71514,74383,77048,80309,85189
19183,50710,51875,52636,54554,55198,56390,56864,59157,61769,62556,63532,66908
19185,35425,36365,38447,40024,42083,43358,42088,42434,45017,44768,47543,53039
19187,40806,41695,41751,41624,42112,42408,42196,42148,44261,47466,51909,56934
19189,41871,46395,46438,45603,49208,47668,49278,50072,51002,49870,51581,56578
19191,50693,52042,52827,53122,53735,54429,57009,60788,62820,65263,63162,65330
19193,44343,45844,45289,45856,46015,46720,49010,51350,55483,59224,60768,63061
19195,49673,50540,50603,50476,49977,48459,49472,50880,54329,57130,60442,63795
19197,44035,43105,45713,45205,43082,43698,46071,48935,50198,53333,51221,55395
20001,41546,40275,39714,40554,38712,38698,40911,43031,42679,45333,47983,51840
20003,40428,40753,43060,41713,40567,40696,42146,40986,46274,50213,52995,56315
20005,44175,44433,45666,45212,44648,43581,46103,46640,48667,50439,50683,52243
20007,38875,41677,43048,45920,48462,51811,49455,52075,50613,50174,49668,52984
20009,43763,44989,46639,44981,43573,44013,44449,46070,50198,49723,48863,50077
20011,38045,39843,38250,39591,39555,38280,41529,39379,40733,43917,46369,49951
20013,37525,36218,37515,39968,41126,43724,44672,46964,48547,48333,50649,52314
20015,56290,57573,57424,56454,57474,58897,60338,62324,63272,64782,66405,71651
20017,40372,39095,36434,36815,38633,38707,41889,42772,46295,45353,48906,49453
20019,35848,35791,37039,39529,39444,37993,37927,39531,38690,40298,39500,46170
20021,38154,41513,41877,39746,40920,41388,41240,41101,41103,43175,41936,47298
20023,31186,36364,39167,37875,39681,44500,46058,47167,46833,47639,42802,45039
20025,37931,42011,39563,41129,43750,42589,42976,46094,50368,53348,52500,55556
20027,42490,41829,43879,45233,51375,52066,53041,55434,56186,53929,47880,52716
20029,35838,37073,37382,38534,39509,39282,40947,44199,44143,45373,48295,53110
20031,47171,49552,50106,51793,56274,57433,57442,58662,58636,59583,59405,63167
20033,34808,38750,39950,39375,44417,45288,43542,51563,56912,54821,48125,49333
20035,40749,40924,41905,41878,42157,43860,44960,46624,48087,50102,50786,51732
20037,35286,36043,36927,37378,37154,36534,37607,38017,40174,41004,42615,45191
20039,35383,35887,38750,39333,37396,40657,41362,41230,44104,48125,44125,46733
20041,46457,49003,49535,48890,50123,49096,48093,49663,48167,49991,53864,59400
20043,43410,45000,46346,46512,48659,47209,49375,50300,49338,49703,51953,54792
20045,45831,47063,48395,49508,50732,50939,52698,54370,55832,59435,61020,62594
20047,39226,41406,43953,46551,47101,47303,48684,50229,49293,50902,50028,49679
20049,33455,34246,33239,34089,38182,36458,37393,39405,38494,38750,42564,45660
20051,44543,43713,44253,43085,45127,45579,50140,49562,52700,52883,57053,54858
20053,42200,43125,46350,45865,45417,47736,49134,48550,48188,54902,56306,55318
20055,50454,51179,49617,47945,47994,49227,50712,51703,56573,60798,60498,61374
20057,46621,49061,50577,51178,51374,50777,49688,49890,53072,51711,53743,59578
20059,49459,50231,50240,49543,50415,51081,51465,53167,55486,56582,55873,63996
20061,45559,45649,47879,46908,45660,43992,45243,46096,49185,53133,52019,54664
20063,41295,41853,44426,44866,48276,46364,46681,50817,48894,48317,53906,53226
20065,43980,41008,43929,47500,45192,43826,45982,43427,40769,46375,40890,44091
20067,55514,59127,53800,53213,54478,55432,54919,57474,55455,53413,60625,60417
20069,52824,55559,55000,57808,58656,61000,59629,61220,64426,64930,70457,70321
20071,55972,58971,52212,52847,51023,47750,47000,47045,51250,54112,53750,57281
20073,37180,37543,39145,38346,39286,38838,39671,41648,42595,41982,43320,46783
20075,36297,41351,43125,43357,44274,45114,48523,48160,45000,46944,44894,48333
20077,38168,42021,38340,38313,41332,43973,46886,48059,49455,49865,49283,52188
20079,46604,48880,49075,50287,49576,51327,52463,55687,56051,57982,58782,60653
20081,45859,49760,52688,52415,55742,56484,55453,53780,53527,55064,54638,58841
20083,41127,44176,44318,52375,53190,54856,56250,55345,53854,61211,60703,62902
20085,51759,54440,54710,54546,55296,54077,54700,53592,55904,57914,59686,62023
20087,56886,58083,58434,56875,56531,57236,56777,58935,61793,64864,67429,72270
20089,37759,39713,38462,39884,41042,40553,37750,43125,42552,40676,38188,45655
20091,73733,74761,75139,74717,75017,76113,78186,81121,84915,89087,91650,96059
20093,46435,50612,47069,52264,54732,50506,49396,51439,51314,52599,46464,61406
20095,44510,45817,47801,47466,50000,50844,56142,57593,58483,60469,57304,54852
20097,37292,39496,41574,44650,41211,43963,44896,48226,51336,53274,53107,61406
20099,39049,40587,40117,40916,41434,41439,41851,45706,47668,47643,47922,51425
20101,42311,41536,49063,53021,54292,56507,58077,51765,51719,52125,41318,44219
20103,61107,62853,62035,63435,64909,63726,66046,70022,71184,73013,76307,80853
20105,41071,41050,41250,40811,43487,44276,49583,48693,46196,45076,46523,48457
20107,44379,44408,44771,45519,46448,46964,45790,46576,43699,48778,48325,52339
20109,39375,41289,46047,41765,47073,46875,48205,49926,51597,51740,51136,62202
20111,36921,37954,38877,38981,40427,40021,40611,42992,44191,46338,50141,52591
20113,53026,53332,54171,54167,55437,56128,56783,56946,57765,59089,59928,63816
20115,45713,45941,45323,45830,45964,45927,47926,50212,51262,52123,50816,54679
20117,43125,42464,41867,44032,44615,45374,47532,50420,50234,51895,52293,58750
20119,46658,49551,49846,51000,51326,52250,52960,54167,55568,59316,56817,66042
20121,60539,59668,61272,58936,60622,60966,63353,63501,69150,71995,75635,79211
20123,44247,45237,48046,46667,46836,48217,49755,44591,45221,46203,47375,49250
20125,40603,40925,41073,39669,40716,41083,42646,43977,45173,45157,45288,47697
20127,42083,44070,45000,47445,48072,47089,48551,50338,50352,55658,52792,50242
20129,42273,44263,44198,46607,45638,46028,44100,43813,43925,47750,41866,51447
20131,46134,47476,46901,47122,47141,48653,50400,53368,58644,63216,61382,65177
20133,36702,38883,40829,42071,44879,43195,43867,44402,44294,46291,49493,54479
20135,47639,46417,47870,48800,48021,44904,47298,48412,51033,56492,57222,63241
20137,32016,37656,42776,46029,45484,47852,47651,50673,49891,49038,48486,49326
20139,48594,51878,50243,50205,49716,49915,52171,54186,55036,54090,58927,61702
